	
								1st term Examination Result
	
	
	
	Roll   				  Name      	    BAN     ENG     MATH   SCIENCE   SOCIAL_SCIENCE     RELIGION_STUDIES           TOTAL
	
	001				Abu Kashem	     84      87     94     87          97		  83 	                  532	  
	002				Rabbi Islam	     80      73     78     86          90		  82	           	  489
	003				Raju		     83      79     82     81          83		  80               	  488
	004				Raja		     82      31     84     91          71		  73                      432
	005				Habibur 	     21      48     47     19          72		  77               	  207
	006				Khorshed Ahmed	     34      74	    74     64          64		  71		   	  381
	007				Munna Al Mafin	     83      43     48     42          69		  61               	  346
	008				Shah Sabbir 	     32      94     29     74          90		  69               	  388
	009				Rajpal kormokar	     32      53     25     36          46		  79	           	  271
	010				Abu Sufian	     53      45     38     95          67		  69               	  367
	011				Sakil Mondal	     69      49     40     54          65		  77               	  354
	012				Al Nahid	     78      67     85     75          67	          65			  434
	013				Al Faruk	     47      39     34     89          82	          71 			  332
	014				Mehedi Hossain	     82      82     72     72          78		  60			  446
	015				Hanif Islam	     85      73     83     82	       87	          66			  476
	016				Sajedul Ahmed	     89      80     00     0	       78	          65			  312
	017				Abdul Safi	     84      53     02     22          67     		  77			  285
	018				mohiur Haque	     56      34     67     76	       75	          66  			  374
	019				Sohidur Rahman	     63      23     28     93	       87		  77			  371
	020				Solaiman Rahman	     73      24     92     20	       93		  69			  388
	021				Rono Muhit	     98      22     92     39	       87		  73			  311
	022				Nitin Ghosh	     28      92     89     23	       29	    	  71			  332
	024				Fahim Asbab	     74      92     74     92          42		  71			  445
	025				Nabil Sheikh	     84      92     18     49	       10		  70		          385
	026				Kobir Rahman	     92      19     21     00          21		  60			  401
	027				Abu Rubel	     29      20     02     83          03		  55			  385
	028				soikat Khan	     29      01     20     32          30		  58			  212
	029				Munna Mahmud	     29      83     92     39          38		  57			  305
	030				Sobuj Uddin 	     83      28     82     10          80		  56		          285
	031				Khalilur Islam	     32      89     29     02          76		  67			  295
	032				Nasir Uddin	     28      98     09     29          10		  70			  244
	033				Shahjahan Komol	     89      32     18     21	       80		  40			  250
	034				Saharukh Haque	     34      18     91     39          87		  35			  265
	035				Aminul Haque	     78      12     92     98          76		  40			  396
	036				Belal Sardar	     98      39     83     13          16		  44			  299
	037				Mominul Bari	     18      81     89     78          87	  	  45			  309
	038				Md. Borson	     38      26     26     36	       98		  55			  300
	039				Md.Arif	             32      74     03     50	       92		  35			  351
	040				Al Wakil	     89      94     54     84	       73		  20			  395
	041				Mafiul Islam	     72      68     49     28	       88		  39			  414
	042				Riad Al Mubin	     23      23     24     72	       87	          40			  374
	043				Kashem Choudhury     71      82     74     29	       76		  33			  269
	044				Sadek Rahman	     23      92     39     23	       56		  35			  273
	045				Mahfuj ur Rahman     17      38     13     51          31		  35			  185
	046				Bodiul Alam	     22      40     9      24	       30		  38			  163
	047				Habib Wahid	     09      28     40     29	       40		  45			  155
	048				Nasim Reza	     19      32     19     03	       13		  54			  190
	049				Suhaib Ahmed	     37      21     39     12	       36		  41			  186
	050				Sams Uddin  	     08      20     37     22	       33   		  35			  155
					
		
		
		
